State,County,Female life expectancy (years),Male life expectancy (years)
Alabama,Autauga County,78.78,73.34
Alabama,Baldwin County,80.29,74.97
Alabama,Barbour County,77.18,72.17
Alabama,Bibb County,76.77,71.54
Alabama,Blount County,78.62,73.14
Alabama,Bullock County,76.39,67.19
Alabama,Butler County,78.08,69.38
Alabama,Calhoun County,75.8,70.8
Alabama,Chambers County,76.37,70.12
Alabama,Cherokee County,77.07,72.23
Alabama,Chilton County,76.94,70.82
Alabama,Choctaw County,78.6,71.5
Alabama,Clarke County,77.35,72.29
Alabama,Clay County,76.6,71.69
Alabama,Cleburne County,76.6,71.69
Alabama,Coffee County,78.36,74.05
Alabama,Colbert County,77.85,70.36
Alabama,Conecuh County,78.08,69.38
Alabama,Coosa County,76.94,70.82
Alabama,Covington County,77.49,72.18
Alabama,Crenshaw County,76.39,70.17
Alabama,Cullman County,77.74,72.33
Alabama,Dale County,77.98,73.45
Alabama,Dallas County,75.44,68.57
Alabama,DeKalb County,77.32,72.14
Alabama,Elmore County,78.4,72.9
Alabama,Escambia County,77.73,71.05
Alabama,Etowah County,75.33,70.33
Alabama,Fayette County,75.82,70.44
Alabama,Franklin County,74.92,70.69
Alabama,Geneva County,78.06,72.17
Alabama,Greene County,77.86,70.02
Alabama,Hale County,76.8,68.06
Alabama,Henry County,78.53,71.87
Alabama,Houston County,79.12,73.29
Alabama,Jackson County,76.26,70.71
Alabama,Jefferson County,77.47,72
Alabama,Lamar County,77.22,71.81
Alabama,Lauderdale County,78.82,72.83
Alabama,Lawrence County,77.45,70.39
Alabama,Lee County,78.75,76.34
Alabama,Limestone County,79.5,74.59
Alabama,Lowndes County,76.39,70.17
Alabama,Macon County,76.39,67.19
Alabama,Madison County,79.51,75.13
Alabama,Marengo County,77.11,70.07
Alabama,Marion County,76.41,70.35
Alabama,Marshall County,76.59,71.5
Alabama,Mobile County,77.81,71.72
Alabama,Monroe County,77.72,70.78
Alabama,Montgomery County,77.98,73.35
Alabama,Morgan County,77.85,72.89
Alabama,Perry County,76.8,68.06
Alabama,Pickens County,76.45,71.58
Alabama,Pike County,77.32,71.5
Alabama,Randolph County,77.54,70.73
Alabama,Russell County,76.1,68.76
Alabama,St. Clair County,78.5,72.34
